"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"WI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","65","0","0","","07/01/2011","06/30/2013"
"WV","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","29","0","0","","07/01/2011","06/30/2013"
"WY","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","11","0","0","","07/01/2011","06/30/2013"
"AK","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","8","0","0","","07/01/2011","06/30/2013"
"AL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","5","63","2","8","","07/01/2011","06/30/2013"
"AR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","36","6","3","","07/01/2011","06/30/2013"
"AS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"AZ","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","56","4","1","","07/01/2011","06/30/2013"
"CA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","15","262","18","6","","07/01/2011","06/30/2013"
"CO","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","41","0","0","","07/01/2011","06/30/2013"
"CT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","4","25","0","0","","07/01/2011","06/30/2013"
"DC","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","6","0","0","","07/01/2011","06/30/2013"
"DE","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","5","0","0","","07/01/2011","06/30/2013"
"FL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","19","129","16","0","","07/01/2011","06/30/2013"
"GA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","7","89","4","5","","07/01/2011","06/30/2013"
"GU","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"HI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","14","0","0","","07/01/2011","06/30/2013"
"IA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","30","4","0","","07/01/2011","06/30/2013"
"ID","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","10","2","1","","07/01/2011","06/30/2013"
"IL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","24","97","4","1","","07/01/2011","06/30/2013"
"IN","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","74","12","2","","07/01/2011","06/30/2013"
"KS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","45","4","3","","07/01/2011","06/30/2013"
"KY","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","52","7","3","","07/01/2011","06/30/2013"
"LA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","82","2","7","","07/01/2011","06/30/2013"
"MA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","5","51","2","2","","07/01/2011","06/30/2013"
"MD","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"ME","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","19","1","0","","07/01/2011","06/30/2013"
"MI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","12","73","6","1","","07/01/2011","06/30/2013"
"MN","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","45","4","0","","07/01/2011","06/30/2013"
"MO","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","7","61","4","2","","07/01/2011","06/30/2013"
"MP","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"MS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","42","1","6","","07/01/2011","06/30/2013"
"MT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","9","3","1","","07/01/2011","06/30/2013"
"NC","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","78","5","1","","07/01/2011","06/30/2013"
"ND","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","3","3","0","","07/01/2011","06/30/2013"
"NE","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","20","3","0","","07/01/2011","06/30/2013"
"NH","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","10","1","0","","07/01/2011","06/30/2013"
"NJ","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","17","45","2","0","","07/01/2011","06/30/2013"
"NM","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","25","1","3","","07/01/2011","06/30/2013"
"NV","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","20","0","0","","07/01/2011","06/30/2013"
"NY","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","19","135","1","3","","07/01/2011","06/30/2013"
"OH","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","11","117","2","3","","07/01/2011","06/30/2013"
"OK","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","64","4","15","","07/01/2011","06/30/2013"
"OR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","28","2","1","","07/01/2011","06/30/2013"
"PA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","18","132","3","2","","07/01/2011","06/30/2013"
"PR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"RI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","11","0","0","","07/01/2011","06/30/2013"
"SC","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","48","2","3","","07/01/2011","06/30/2013"
"SD","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","17","2","1","","07/01/2011","06/30/2013"
"TN","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","75","8","6","","07/01/2011","06/30/2013"
"TX","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","11","241","20","27","","07/01/2011","06/30/2013"
"UT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","27","0","2","","07/01/2011","06/30/2013"
"VA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","7","58","5","3","","07/01/2011","06/30/2013"
"VI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"VT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","6","0","0","","07/01/2011","06/30/2013"
"WA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","42","5","0","","07/01/2011","06/30/2013"
"WI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","57","6","0","","07/01/2011","06/30/2013"
"WV","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","27","1","1","","07/01/2011","06/30/2013"
"WY","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","10","1","0","","07/01/2011","06/30/2013"
"AK","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","7","0","1","","07/01/2011","06/30/2013"
"AL","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","56","0","15","","07/01/2011","06/30/2013"
"AR","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","34","0","10","","07/01/2011","06/30/2013"
"AS","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"AZ","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","49","0","9","","07/01/2011","06/30/2013"
"CA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","243","0","51","","07/01/2011","06/30/2013"
"CO","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","39","0","4","","07/01/2011","06/30/2013"
"CT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","29","0","0","","07/01/2011","06/30/2013"
"DC","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","7","0","0","","07/01/2011","06/30/2013"
"DE","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","6","0","0","","07/01/2011","06/30/2013"
"FL","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","158","0","4","","07/01/2011","06/30/2013"
"GA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","82","0","19","","07/01/2011","06/30/2013"
"GU","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"HI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","11","0","3","","07/01/2011","06/30/2013"
"IA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","31","0","3","","07/01/2011","06/30/2013"
"ID","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","12","0","0","","07/01/2011","06/30/2013"
"IL","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","118","0","6","","07/01/2011","06/30/2013"
"IN","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","71","0","11","","07/01/2011","06/30/2013"
"KS","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","36","0","12","","07/01/2011","06/30/2013"
"KY","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","49","0","13","","07/01/2011","06/30/2013"
"LA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","60","0","20","","07/01/2011","06/30/2013"
"MA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","57","0","1","","07/01/2011","06/30/2013"
"MD","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"ME","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","19","0","1","","07/01/2011","06/30/2013"
"MI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","83","0","5","","07/01/2011","06/30/2013"
"MN","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","40","0","10","","07/01/2011","06/30/2013"
"MO","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","62","0","10","","07/01/2011","06/30/2013"
"MP","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"MS","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","37","0","7","","07/01/2011","06/30/2013"
"MT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","10","0","2","","07/01/2011","06/30/2013"
"NC","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","79","0","6","","07/01/2011","06/30/2013"
"ND","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","6","0","0","","07/01/2011","06/30/2013"
"NE","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","19","0","0","","07/01/2011","06/30/2013"
"NH","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","13","0","0","","07/01/2011","06/30/2013"
"NJ","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","61","0","3","","07/01/2011","06/30/2013"
"NM","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","21","0","6","","07/01/2011","06/30/2013"
"NV","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","20","0","1","","07/01/2011","06/30/2013"
"NY","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","142","0","13","","07/01/2011","06/30/2013"
"OH","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","120","0","4","","07/01/2011","06/30/2013"
"OK","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","46","0","25","","07/01/2011","06/30/2013"
"OR","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","32","0","0","","07/01/2011","06/30/2013"
"PA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","130","0","16","","07/01/2011","06/30/2013"
"PR","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"RI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","11","0","0","","07/01/2011","06/30/2013"
"SC","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","47","0","6","","07/01/2011","06/30/2013"
"SD","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","9","0","8","","07/01/2011","06/30/2013"
"TN","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","66","0","21","","07/01/2011","06/30/2013"
"TX","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","202","0","60","","07/01/2011","06/30/2013"
"UT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","22","0","6","","07/01/2011","06/30/2013"
"VA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","66","0","6","","07/01/2011","06/30/2013"
"VI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"VT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","6","0","0","","07/01/2011","06/30/2013"
"WA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","47","0","1","","07/01/2011","06/30/2013"
"WI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","61","0","2","","07/01/2011","06/30/2013"
"WV","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","27","0","3","","07/01/2011","06/30/2013"
"WY","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","9","0","2","","07/01/2011","06/30/2013"
"AK","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","6","0","0","","07/01/2011","06/30/2013"
"AL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","6","85","1","1","","07/01/2011","06/30/2013"
"AR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","42","2","0","","07/01/2011","06/30/2013"
"AS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"AZ","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","6","58","2","0","","07/01/2011","06/30/2013"
"CA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","25","274","8","1","","07/01/2011","06/30/2013"
"CO","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","41","0","1","","07/01/2011","06/30/2013"
"CT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","29","0","1","","07/01/2011","06/30/2013"
"DC","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","6","0","0","","07/01/2011","06/30/2013"
"DE","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","5","1","0","","07/01/2011","06/30/2013"
"FL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","150","14","0","","07/01/2011","06/30/2013"
"GA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","7","97","4","1","","07/01/2011","06/30/2013"
"GU","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"HI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","13","0","0","","07/01/2011","06/30/2013"
"IA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","32","1","0","","07/01/2011","06/30/2013"
"ID","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","13","0","1","","07/01/2011","06/30/2013"
"IL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","105","18","1","","07/01/2011","06/30/2013"
"IN","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","85","2","0","","07/01/2011","06/30/2013"
"KS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","53","0","0","","07/01/2011","06/30/2013"
"KY","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","58","2","0","","07/01/2011","06/30/2013"
"LA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","87","3","6","","07/01/2011","06/30/2013"
"MA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","6","49","6","0","","07/01/2011","06/30/2013"
"MD","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"ME","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","16","0","0","","07/01/2011","06/30/2013"
"MI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","7","83","5","0","","07/01/2011","06/30/2013"
"MN","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","46","2","0","","07/01/2011","06/30/2013"
"MO","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","7","69","2","0","","07/01/2011","06/30/2013"
"MP","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"MS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","56","3","3","","07/01/2011","06/30/2013"
"MT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","12","0","0","","07/01/2011","06/30/2013"
"NC","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","7","77","5","0","","07/01/2011","06/30/2013"
"ND","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","4","0","0","","07/01/2011","06/30/2013"
"NE","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","19","0","1","","07/01/2011","06/30/2013"
"NH","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","12","0","0","","07/01/2011","06/30/2013"
"NJ","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","50","9","0","","07/01/2011","06/30/2013"
"NM","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","32","0","1","","07/01/2011","06/30/2013"
"NV","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","23","0","0","","07/01/2011","06/30/2013"
"NY","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","6","148","10","1","","07/01/2011","06/30/2013"
"OH","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","7","122","7","2","","07/01/2011","06/30/2013"
"OK","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","84","1","3","","07/01/2011","06/30/2013"
"OR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","29","1","0","","07/01/2011","06/30/2013"
"PA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","9","141","7","1","","07/01/2011","06/30/2013"
"PR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"RI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","10","0","0","","07/01/2011","06/30/2013"
"SC","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","52","3","0","","07/01/2011","06/30/2013"
"SD","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","21","0","0","","07/01/2011","06/30/2013"
"TN","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","92","3","2","","07/01/2011","06/30/2013"
"TX","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","11","296","15","3","","07/01/2011","06/30/2013"
"UT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","27","0","1","","07/01/2011","06/30/2013"
"VA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","69","5","1","","07/01/2011","06/30/2013"
"VI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"VT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","5","1","0","","07/01/2011","06/30/2013"
"WA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","9","38","1","0","","07/01/2011","06/30/2013"
"WI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","6","59","0","0","","07/01/2011","06/30/2013"
"WV","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","27","1","0","","07/01/2011","06/30/2013"
"WY","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","11","0","0","","07/01/2011","06/30/2013"
"AK","Serious complications","PSI_90_SAFETY","1","8","0","Not Available","","07/01/2011","06/30/2013"
"AL","Serious complications","PSI_90_SAFETY","5","86","2","Not Available","","07/01/2011","06/30/2013"
"AR","Serious complications","PSI_90_SAFETY","1","40","5","Not Available","","07/01/2011","06/30/2013"
"AS","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"AZ","Serious complications","PSI_90_SAFETY","4","60","2","Not Available","","07/01/2011","06/30/2013"
"CA","Serious complications","PSI_90_SAFETY","23","275","11","Not Available","","07/01/2011","06/30/2013"
"CO","Serious complications","PSI_90_SAFETY","6","40","0","Not Available","","07/01/2011","06/30/2013"
"CT","Serious complications","PSI_90_SAFETY","7","25","0","Not Available","","07/01/2011","06/30/2013"
"DC","Serious complications","PSI_90_SAFETY","2","5","0","Not Available","","07/01/2011","06/30/2013"
"DE","Serious complications","PSI_90_SAFETY","0","6","0","Not Available","","07/01/2011","06/30/2013"
"FL","Serious complications","PSI_90_SAFETY","11","149","9","Not Available","","07/01/2011","06/30/2013"
"GA","Serious complications","PSI_90_SAFETY","7","95","7","Not Available","","07/01/2011","06/30/2013"
"GU","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"HI","Serious complications","PSI_90_SAFETY","0","14","0","Not Available","","07/01/2011","06/30/2013"
"IA","Serious complications","PSI_90_SAFETY","1","31","2","Not Available","","07/01/2011","06/30/2013"
"ID","Serious complications","PSI_90_SAFETY","1","13","0","Not Available","","07/01/2011","06/30/2013"
"IL","Serious complications","PSI_90_SAFETY","10","107","11","Not Available","","07/01/2011","06/30/2013"
"IN","Serious complications","PSI_90_SAFETY","1","84","6","Not Available","","07/01/2011","06/30/2013"
"KS","Serious complications","PSI_90_SAFETY","2","52","1","Not Available","","07/01/2011","06/30/2013"
"KY","Serious complications","PSI_90_SAFETY","1","62","2","Not Available","","07/01/2011","06/30/2013"
"LA","Serious complications","PSI_90_SAFETY","3","94","3","Not Available","","07/01/2011","06/30/2013"
"MA","Serious complications","PSI_90_SAFETY","6","50","5","Not Available","","07/01/2011","06/30/2013"
"MD","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"ME","Serious complications","PSI_90_SAFETY","2","18","0","Not Available","","07/01/2011","06/30/2013"
"MI","Serious complications","PSI_90_SAFETY","15","74","6","Not Available","","07/01/2011","06/30/2013"
"MN","Serious complications","PSI_90_SAFETY","3","46","3","Not Available","","07/01/2011","06/30/2013"
"MO","Serious complications","PSI_90_SAFETY","6","68","4","Not Available","","07/01/2011","06/30/2013"
"MP","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"MS","Serious complications","PSI_90_SAFETY","2","62","2","Not Available","","07/01/2011","06/30/2013"
"MT","Serious complications","PSI_90_SAFETY","0","12","1","Not Available","","07/01/2011","06/30/2013"
"NC","Serious complications","PSI_90_SAFETY","5","77","7","Not Available","","07/01/2011","06/30/2013"
"ND","Serious complications","PSI_90_SAFETY","0","7","0","Not Available","","07/01/2011","06/30/2013"
"NE","Serious complications","PSI_90_SAFETY","1","20","3","Not Available","","07/01/2011","06/30/2013"
"NH","Serious complications","PSI_90_SAFETY","2","10","1","Not Available","","07/01/2011","06/30/2013"
"NJ","Serious complications","PSI_90_SAFETY","10","47","7","Not Available","","07/01/2011","06/30/2013"
"NM","Serious complications","PSI_90_SAFETY","1","33","0","Not Available","","07/01/2011","06/30/2013"
"NV","Serious complications","PSI_90_SAFETY","1","23","0","Not Available","","07/01/2011","06/30/2013"
"NY","Serious complications","PSI_90_SAFETY","15","146","5","Not Available","","07/01/2011","06/30/2013"
"OH","Serious complications","PSI_90_SAFETY","11","118","9","Not Available","","07/01/2011","06/30/2013"
"OK","Serious complications","PSI_90_SAFETY","2","83","7","Not Available","","07/01/2011","06/30/2013"
"OR","Serious complications","PSI_90_SAFETY","3","28","2","Not Available","","07/01/2011","06/30/2013"
"PA","Serious complications","PSI_90_SAFETY","16","134","8","Not Available","","07/01/2011","06/30/2013"
"PR","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"RI","Serious complications","PSI_90_SAFETY","1","10","0","Not Available","","07/01/2011","06/30/2013"
"SC","Serious complications","PSI_90_SAFETY","3","50","4","Not Available","","07/01/2011","06/30/2013"
"SD","Serious complications","PSI_90_SAFETY","0","22","0","Not Available","","07/01/2011","06/30/2013"
"TN","Serious complications","PSI_90_SAFETY","4","89","5","Not Available","","07/01/2011","06/30/2013"
"TX","Serious complications","PSI_90_SAFETY","15","287","23","Not Available","","07/01/2011","06/30/2013"
"UT","Serious complications","PSI_90_SAFETY","5","27","0","Not Available","","07/01/2011","06/30/2013"
"VA","Serious complications","PSI_90_SAFETY","4","70","5","Not Available","","07/01/2011","06/30/2013"
"VI","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"VT","Serious complications","PSI_90_SAFETY","0","6","0","Not Available","","07/01/2011","06/30/2013"
"WA","Serious complications","PSI_90_SAFETY","9","38","1","Not Available","","07/01/2011","06/30/2013"
"WI","Serious complications","PSI_90_SAFETY","3","61","1","Not Available","","07/01/2011","06/30/2013"
"WV","Serious complications","PSI_90_SAFETY","2","27","1","Not Available","","07/01/2011","06/30/2013"
